name,country,state,trip_category,budget,travel_with,purpose,best_months,weather,beach_score,nature_score,history_score,adventure_score,nightlife_score,family_score,couple_score
Goa,India,Goa,Domestic,low,friends|couple,party|relaxing,November|December|January,tropical,10,5,4,5,10,6,8
Kerala,India,Kerala,Domestic,low,family|couple,relaxing|nature,September|October|November,tropical,7,10,5,4,3,9,9
Munnar,India,Kerala,Domestic,medium,couple|family,nature|relaxing,September|October|November,pleasant,0,10,2,4,1,8,10
Coorg,India,Karnataka,Domestic,medium,couple|family,nature|relaxing,October|November|December,pleasant,0,9,2,4,2,8,9
Ooty,India,Tamil Nadu,Domestic,medium,couple|family,nature|relaxing,April|May|June,cold,0,8,3,3,2,8,9
Manali,India,Himachal Pradesh,Domestic,medium,couple|friends,adventure|nature,March|April|May,cold,0,10,2,10,4,7,9
Shimla,India,Himachal Pradesh,Domestic,medium,family|couple,nature|relaxing,March|April|May,cold,0,8,4,5,3,8,8
Leh,India,Ladakh,Domestic,high,friends|solo,adventure|nature,June|July|August,cold,0,10,3,10,2,4,6
Jaipur,India,Rajasthan,Domestic,medium,family|couple,history|culture,October|November|December,hot,0,3,10,3,4,8,8
Udaipur,India,Rajasthan,Domestic,medium,honeymoon|couple,romantic|history,October|November|December,pleasant,0,4,9,2,3,8,10
Jaisalmer,India,Rajasthan,Domestic,medium,friends|family,history|culture,November|December|January,hot,0,2,9,5,3,7,7
Hampi,India,Karnataka,Domestic,low,solo|friends,history|culture,October|November|December,hot,0,4,10,5,2,6,6
Varanasi,India,Uttar Pradesh,Domestic,low,family|solo,spiritual|history,October|November|December,hot,0,2,10,2,1,7,5
Rishikesh,India,Uttarakhand,Domestic,low,friends|solo,adventure|spiritual,October|November|March,pleasant,0,8,4,9,3,5,6
Kashmir,India,Jammu and Kashmir,Domestic,high,couple|family,nature|relaxing,April|May|June,cold,0,10,4,6,2,9,10
Andaman,India,Andaman,Domestic,high,couple|family,beach|relaxing,November|December|January,tropical,10,8,2,6,2,8,10
Pondicherry,India,Puducherry,Domestic,low,couple|friends,beach|relaxing,October|November|December,tropical,8,5,5,3,4,7,8
Gokarna,India,Karnataka,Domestic,low,friends|couple,beach|relaxing,November|December|January,tropical,9,6,3,4,5,6,8
Darjeeling,India,West Bengal,Domestic,medium,couple|family,nature|relaxing,March|April|May,cold,0,9,4,4,2,8,9
Mysore,India,Karnataka,Domestic,low,family|couple,history|culture,October|November|December,pleasant,0,3,8,2,2,8,7
Bali,Indonesia,,International,medium,honeymoon|couple,relaxing|romantic,May|June|July|August,tropical,9,8,4,6,5,6,10
Phuket,Thailand,,International,medium,friends|couple,beach|party,November|December|January,tropical,10,6,3,5,9,6,8
Bangkok,Thailand,,International,medium,friends|solo,nightlife|shopping,November|December|January,hot,2,2,4,3,10,4,5
Maldives,Maldives,,International,high,honeymoon|couple,romantic|relaxing,November|December|January,tropical,10,7,1,2,1,7,10
Singapore,Singapore,,International,medium,family|couple,sightseeing|food,June|July|August,tropical,3,4,5,3,6,9,8
Kyoto,Japan,,International,high,couple|solo,history|culture,March|April|October,pleasant,0,6,10,3,3,7,9
Tokyo,Japan,,International,high,solo|friends,culture|shopping,March|April|October,pleasant,1,3,8,4,8,6,7
Paris,France,,International,high,honeymoon|couple,romantic|culture,April|May|September,pleasant,0,3,9,2,6,7,10
Switzerland,Switzerland,,International,high,honeymoon|family,nature|relaxing,June|July|December,cold,0,10,5,7,2,9,10
Dubai,UAE,,International,high,family|couple,luxury|shopping,November|December|January,hot,2,1,4,2,8,8,8
